pe_ref_in_enseigne,pe_id,p_id_cat
25771,414223,1541E
24750,414224,2003E
26373,414225,212E
3098,414226,3882F
17997,414227,1932E
184,414228,3306F
3208,414229,2098E
3162,414230,304D
1847,414231,352E
4851,414232,2551F
23109,414233,4D
24769,414235,168D
4101,414236,4348F
4584,414237,278D
2103,414238,1914E
4891,414239,4120F
2459,414240,2002E
13717,414241,3390F
9439,414242,510D
8532,414243,85D
15652,414244,9F
29000,414245,99D
21642,414247,775F
14880,414248,2129E
915,414249,4098F
5474,414250,620F
331,414251,187D
26160,414252,4095F
8214,414253,660E
19034,414254,105D
18386,414255,1367E
26862,414256,148E
9204,414257,1831E
5616,414258,1934E
31307,414260,1495E
2240,414261,546F
28291,414262,1322E
22822,414263,138E
3115,414264,4130F
7975,414265,1522E
3078,414266,1320E
15514,414267,1850E
3198,414268,4107F
8607,414269,551E
6785,414270,1368E
14875,414271,1891E
15887,414272,55D
2937,414273,1847E
5164,414274,551E
15973,414275,1939E
5308,414276,1850E
3577,414277,202D
6453,414278,3D
26088,414279,1471E
15450,414280,304D
24343,414281,3396F
11905,414282,546F
16827,414284,2003E
11902,414285,545F
22927,414286,1027E
24556,414287,477D
190,414288,4348F
19263,414289,2146E
6434,414290,206D
1935,414291,3413F
24603,414292,540D
771,414293,1500E
413,414294,3423F
24037,414295,4095F
26165,414296,4072F
15749,414297,402D
13957,414298,481D
4901,414299,4120F
25260,414300,3132F
25414,414302,154D
261,414303,4487F
1921,414304,552D
5819,414305,287D
433,414306,154D
4927,414307,437D
2299,414308,3855F
7005,414309,4128F
5095,414310,449E
8525,414311,1304E
5612,414312,205D
3357,414313,3937F
26646,414314,227D
8489,414315,296D
30924,414316,121D
189,414317,3502F
2147,414318,1939E
20399,414319,2003E
3323,414320,1566E
2071,414321,227D
7607,414322,55D
24849,414323,3421F
5487,414324,1450E
21929,414325,1105E
2596,414326,205D
23969,414327,1495E
1002,414328,247D
18394,414329,1368E
3223,414330,4349F
1186,414331,647E
24913,414332,1103E
25773,414333,3379F
2298,414334,3857F
2683,414335,220D
6870,414336,295D
5910,414337,100D
1737,414338,3390F
2550,414339,55D
6922,414340,281D
24652,414341,3856F
456,414342,1428E
6844,414344,4021F
30917,414345,238D
523,414346,3933F
16105,414347,4130F
1863,414348,255D
18015,414349,433D
2337,414350,402D
14697,414351,360E
2441,414352,2676F
1539,414353,4120F
25258,414354,202D
24121,414355,510D
5182,414356,4139F
6199,414357,253D
3733,414358,154D
833,414359,4175F
83,414360,3306F
1999,414361,220D
20320,414362,276D
3532,414363,1429E
24440,414366,3017F
1235,414367,241D
19253,414368,3389F
19854,414369,555D
2463,414370,1800E
21047,414371,3882F
25420,414372,162D
4971,414373,1481E
6475,414374,298D
6405,414375,4629F
18404,414376,1367E
2175,414377,4628F
5220,414378,2117E
16875,414379,207E
1892,414381,2155E
4990,414382,1494E
21631,414383,510D
253,414384,4492F
14436,414385,1908E
1938,414386,154D
3102,414387,1840E
3954,414388,1834E
6779,414389,4358F
25176,414390,2034F
8400,414391,168D
1960,414392,359E
3193,414393,1306E
3114,414394,4130F
15512,414395,1850E
25751,414396,4405F
16272,414397,137D
24634,414398,3857F
18410,414399,3389F
6792,414400,1367E
19940,414401,241D
262,414402,1850E
13815,414403,477D
19534,414404,3286F
2102,414405,663E
25540,414406,445E
25458,414407,99D
5321,414408,1872E
24252,414409,2131E
21609,414410,1345E
26830,414411,1888E
8445,414412,206D
28998,414413,99D
14702,414414,670F
3358,414415,3016F
13733,414416,3389F
276,414417,3884F
4888,414418,4120F
482,414419,1859E
20755,414420,4095F
4876,414421,4121F
23579,414422,4510F
6795,414423,1369E
5088,414424,1417E
17475,414425,1934E
18385,414426,1368E
23685,414427,1932E
4874,414428,1869E
5003,414429,304D
25359,414430,360E
1852,414431,1834E
6300,414432,281D
5086,414433,215E
7011,414434,4135F
4902,414435,4132F
22799,414436,99D
24665,414437,1529E
5360,414438,1566E
23985,414439,3369F
2124,414440,276D
4877,414441,4121F
20085,414442,4061F
511,414443,1866E
2105,414444,661E
16398,414445,1105E
16952,414446,1367E
597,414447,1420E
19939,414449,4090F
271,414450,552D
15467,414451,436E
3802,414452,4129F
5064,414453,148D
29114,414454,1800E
28901,414456,295D
26715,414457,670F
25283,414458,4405F
18397,414459,1368E
15981,414460,1891E
6443,414461,1899E
14541,414462,14D
25304,414463,202D
2301,414464,3859F
6440,414465,3935F
2479,414466,520D
2757,414467,1742F
15443,414468,304D
4988,414469,
7343,414470,3502F
3860,414471,1428E
14396,414472,614E
4884,414473,4120F
8467,414474,4077F
25417,414475,154D
491,414476,523F
4903,414477,4132F
2736,414478,205D
3126,414479,4135F
3513,414480,99D
387,414481,183D
2505,414482,39D
2588,414483,205D
3481,414484,4130F
2297,414485,3859F
9593,414486,
5546,414487,291D
6149,414488,4087F
496,414490,211E
26361,414491,523F
5316,414492,122D
27976,414493,205D
707,414494,1903E
24321,414495,3421F
197,414496,3502F
186,414497,3502F
4259,414498,4349F
24649,414499,3857F
9026,414500,288D
5014,414501,253D
916,414502,4098F
720,414503,4058F
1859,414504,1832E
3536,414505,360E
1380,414506,789F
17645,414507,220D
5318,414508,548D
6200,414509,121D
24814,414510,2112E
2185,414511,4487F
192,414512,3502F
6468,414513,120D
9181,414514,168D
7526,414515,273D
30030,414516,1345E
6164,414517,148D
165,414518,3375F
26360,414519,523F
3642,414520,1503E
24316,414521,3412F
5538,414522,4344F
194,414523,4348F
14698,414524,1597E
20042,414525,4019F
24864,414526,218D
21730,414527,934E
7345,414528,3502F
834,414529,4077F
15180,414530,238D
7918,414531,3855F
15574,414532,4629F
3300,414533,3375F
3039,414535,253D
637,414536,348D
20068,414537,4020F
8559,414538,1841E
3122,414539,4127F
16602,414540,4127F
26048,414541,4087F
3734,414542,360E
2742,414543,206D
27032,414544,1566E
6679,414545,361E
1782,414759,450E
843,414760,4095F
19096,414761,361E
30926,414762,3391F
5124,414763,
481,414764,1429E
35260,415059,658E
30732,415493,115F
34892,416142,
14412,416502,4201F
23649,418289,1103E
25188,418290,2098E
725,430645,4018F
1430,430944,2003E
29173,430945,2003E
1429,430946,2003E
3365,430947,2002E
15034,430948,
20650,430949,3859F
18786,430950,3859F
24408,430951,3859F
1448,430952,3857F
1447,430953,3857F
1449,430954,3857F
15053,430955,3857F
18803,430956,3857F
19744,430957,3855F
7920,430958,3855F
14182,430959,3855F
14352,430960,1789E
17579,430961,1790E
18771,430962,1790E
8536,430963,1790E
14192,430964,1790E
7270,430965,1790E
30656,430966,
7289,430967,
6361,430968,
24593,430969,1684E
24586,430970,1685E
25661,430971,438D
3055,430972,403D
14176,430973,1688E
22991,430974,598D
22990,430975,495D
24588,430976,489D
31223,430977,532D
2243,430978,532D
18207,430979,2090E
18208,430980,2090E
22903,430981,2090E
2355,430982,2090E
8408,430983,2090E
22909,430984,2091E
24546,430985,2091E
2305,430986,2091E
2411,430987,538D
22979,430988,
22974,430989,
24535,430990,1317E
3064,430991,1317E
18776,430992,477D
2576,430993,477D
2262,430994,536D
22976,430995,477D
21611,430996,
21610,430997,
21041,430998,55D
21042,430999,55D
14220,431000,55D
18445,431001,55D
26917,431002,55D
24624,431003,55D
24622,431004,55D
8885,431005,55D
8887,431006,55D
8880,431007,55D
22994,431008,510D
31369,431009,510D
2400,431010,510D
24612,431011,510D
24607,431012,510D
23063,431013,510D
15898,431014,511D
5524,431015,2059E
7288,431016,2061E
8737,431017,2063E
4785,431018,2059E
3394,431019,1566E
24712,431020,1564E
21632,431021,1566E
1482,431022,1566E
26035,431023,545D
5396,431024,545D
1486,431025,1597E
14114,431026,1597E
5507,431027,1597E
5508,431028,1597E
1485,431029,1597E
1483,431030,1597E
2218,431031,1597E
14820,431032,432D
14023,431033,433D
1474,431034,432D
4863,431035,1319E
5718,431036,1318E
18648,431037,3132F
8475,431038,3131F
3714,431039,3132F
3072,431040,3131F
26908,431041,3132F
14030,431042,
3334,431043,
3339,431044,1320E
3338,431045,
16086,431046,1319E
24621,431047,2678F
26475,431048,2675F
1636,431049,2141E
14576,431050,2092E
9898,431051,1325E
1487,431052,40D
4514,431053,40D
10113,431054,40D
6315,431055,40D
6351,431056,40D
5514,431057,40D
5512,431058,40D
23753,431059,36D
23754,431060,36D
22973,431061,36D
23339,431062,1295E
7716,431063,1295E
10114,431064,2138E
2502,431065,
19037,431066,2138E
19038,431067,2138E
28226,431068,1317E
27941,431069,1317E
13776,431070,
15510,431071,
27258,431072,1292E
17416,431073,1292E
17392,431074,
21276,431075,
28102,431076,
28822,431077,
30383,431078,
26936,431079,
14633,431080,""
2029,431081,
7103,431082,
6196,431083,
26938,431084,
21274,431085,
21427,431086,
10417,431087,
28414,431088,
22479,431089,
3588,431090,
3589,431091,
3556,431092,
2045,431093,
2044,431094,
30415,431095,
22023,431096,
29378,431097,
26820,431098,3371F
3562,431099,
11895,431100,
28821,431101,
21946,431102,
31036,431103,
15868,431104,
27435,431105,
30417,431106,
10727,431107,
741,431108,
29359,431109,
7082,431110,
15808,431111,
22621,431112,
20484,431113,
3550,431114,
9601,431115,
11990,431116,
3590,431117,
2051,431118,
2049,431119,
3549,431120,
22024,431121,
2064,431122,
742,431123,
29360,431124,
8734,431125,227D
2073,431126,
22494,431127,227D
22493,431128,227D
24377,431129,227D
17113,431130,211D
4063,431131,211D
2079,431132,211D
22893,431133,211D
3307,431134,211D
5515,431135,
22870,431136,
29370,431137,
22586,431138,
2082,431139,
7088,431140,
3567,431141,
23158,431142,
2080,431143,
15013,431144,
22037,431145,4019F
5070,431146,
1995,431148,220D
9641,431149,220D
5049,431150,220D
1989,431151,220D
2002,431152,213D
2078,431153,
15014,431154,
15015,431155,
27009,431156,
14432,431157,
22033,431158,549E
2007,431159,218D
2018,431160,
737,431161,218D
2019,431162,223D
14982,431163,
2015,431164,224D
29897,431165,225D
14978,431166,225D
20475,431167,225D
5116,431168,225D
20488,431169,225D
5109,431170,225D
17500,431171,225D
12402,431172,225D
14980,431173,225D
26458,431174,222D
8605,431175,225D
14429,431176,224D
14973,431177,224D
2027,431178,212D
14433,431179,212D
4288,431180,215D
8678,431181,214D
2023,431182,214D
2025,431183,214D
